MaxIterations,Avg. L2,Adv Acc
1,2.0841906e-06,0.8462499976158142
2,0.017343106,0.6915000081062317
3,0.04435147,0.5405833125114441
4,0.07041301,0.42116665840148926
5,0.09648816,0.3199999928474426
6,0.118670136,0.2474166601896286
7,0.13876118,0.1899999976158142
8,0.15161952,0.15641666948795319
9,0.16079296,0.1342500001192093
10,0.16636068,0.12099999934434891
11,0.17001896,0.11249999701976776
12,0.17176871,0.10766666382551193
13,0.17296782,0.1041666641831398
14,0.17379534,0.10175000131130219
15,0.17480393,0.09933333098888397
16,0.1753052,0.09825000166893005
17,0.17526586,0.09808333218097687
18,0.17548789,0.0975833311676979
19,0.17562933,0.09724999964237213
20,0.17318164,0.09674999862909317
21,0.17321782,0.09666666388511658
22,0.17323254,0.09658333659172058
