MaxIterations,Avg. L2,Adv Acc
1,1.4188024e-06,0.862500011920929
2,0.0054520057,0.824999988079071
3,0.0105129685,0.800000011920929
4,0.024099987,0.75
5,0.04173134,0.699999988079071
6,0.101049826,0.5874999761581421
7,0.12848666,0.5375000238418579
8,0.12998988,0.5249999761581421
9,0.1682277,0.4749999940395355
10,0.20257358,0.4375
11,0.27165774,0.375
12,0.294697,0.3499999940395355
13,0.37932363,0.2874999940395355
14,0.40561765,0.26249998807907104
15,0.45308763,0.22499999403953552
16,0.44797572,0.22499999403953552
17,0.48917776,0.20000000298023224
18,0.5336276,0.17499999701976776
19,0.57662773,0.15000000596046448
20,0.56429577,0.15000000596046448
21,0.63907444,0.11249999701976776
22,0.6754918,0.08749999850988388
