Epsilon,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.0,0.8462,0.6100,0.5152,1.5446
0.001,0.7693,0.6047,0.8325,1.5687
0.002,0.6726,0.5991,1.2348,1.5929
0.003,0.5792,0.5932,1.6992,1.6178
0.004,0.4908,0.5883,2.2029,1.6433
0.005,0.4168,0.5829,2.7248,1.6698
0.006,0.3277,0.5784,3.2767,1.6964
0.007,0.2500,0.5720,3.8145,1.7236
0.008,0.1772,0.5671,4.3290,1.7507
0.009,0.1262,0.5618,4.8062,1.7789
0.01,0.0834,0.5560,5.2586,1.8065
0.02,0.0010,0.5487,6.3978,1.8321
0.03,0.0000,0.5487,6.4867,1.8324
0.04,0.0000,0.5487,6.4927,1.8324
0.05,0.0000,0.5487,6.4933,1.8324
0.06,0.0000,0.5487,6.4933,1.8324
0.07,0.0000,0.5487,6.4933,1.8324
0.08,0.0000,0.5487,6.4933,1.8324
0.09,0.0000,0.5487,6.4933,1.8324
0.1,0.0000,0.5487,6.4933,1.8324
