Iterations,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
1,0.8462,0.6189,0.5152,1.4912
2,0.6915,0.6167,0.7597,1.5040
3,0.5407,0.6122,1.0018,1.5222
4,0.4213,0.6079,1.1628,1.5383
5,0.3200,0.6043,1.2760,1.5502
6,0.2474,0.6015,1.3645,1.5588
7,0.1900,0.5998,1.4361,1.5653
8,0.1564,0.5994,1.4795,1.5692
9,0.1343,0.5986,1.5064,1.5715
10,0.1210,0.5980,1.5210,1.5727
11,0.1125,0.5978,1.5309,1.5733
12,0.1077,0.5979,1.5356,1.5734
13,0.1042,0.5979,1.5354,1.5736
14,0.1018,0.5980,1.5323,1.5733
15,0.0993,0.5979,1.5275,1.5732
16,0.0983,0.5980,1.5243,1.5731
17,0.0981,0.5981,1.5206,1.5730
18,0.0976,0.5980,1.5189,1.5729
19,0.0972,0.5980,1.5178,1.5728
20,0.0967,0.5981,1.4968,1.5716
21,0.0967,0.5981,1.4959,1.5715
22,0.0966,0.5981,1.4948,1.5715
