Epsilon,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.0,0.8462,0.6168,0.5152,1.4953
-0.0,0.8462,0.6168,0.5152,1.4953
0.002,0.6877,0.6078,1.2297,1.5442
0.004,0.5257,0.5960,2.1904,1.5948
0.005,0.4582,0.5929,2.7070,1.6209
0.006,0.4027,0.5860,3.2217,1.6472
0.008,0.3118,0.5762,4.1969,1.7011
0.01,0.2411,0.5651,5.0565,1.7568
0.012,0.1925,0.5534,5.7857,1.8140
0.014,0.1596,0.5422,6.3854,1.8727
0.015,0.1460,0.5367,6.6407,1.9026
0.016,0.1345,0.5317,6.8695,1.9331
0.018,0.1184,0.5197,7.2546,1.9947
0.02,0.1072,0.5070,7.5560,2.0579
0.025,0.0894,0.4797,8.0379,2.2199
0.03,0.0772,0.4520,8.2675,2.3881
0.035,0.0733,0.4252,8.3578,2.5600
0.04,0.0729,0.4014,8.3708,2.7343
0.045,0.0758,0.3790,8.3448,2.9090
0.05,0.0755,0.3580,8.3034,3.0828
0.055,0.0773,0.3392,8.2591,3.2538
0.06,0.0788,0.3217,8.2134,3.4209
0.065,0.0803,0.3035,8.1724,3.5837
0.07,0.0801,0.2893,8.1376,3.7417
0.075,0.0817,0.2753,8.1076,3.8950
0.08,0.0835,0.2591,8.0803,4.0430
0.085,0.0856,0.2471,8.0540,4.1851
0.09,0.0866,0.2354,8.0271,4.3216
0.095,0.0880,0.2243,8.0003,4.4521
0.1,0.0893,0.2158,7.9730,4.5758
