num_files,eps_values,raw_acc,denoised_acc
1,0.20,0.007000000216066837,0.8615000247955322
2,0.20;0.19,0.0062500000931322575,0.8705000281333923
3,0.20;0.19;0.18,0.005833333358168602,0.8743333220481873
4,0.20;0.19;0.18;0.17,0.006000000052154064,0.8826249837875366
5,0.20;0.19;0.18;0.17;0.16,0.005900000222027302,0.8762999773025513
6,0.20;0.19;0.18;0.17;0.16;0.15,0.005916666705161333,0.8865000009536743
7,0.20;0.19;0.18;0.17;0.16;0.15;0.14,0.006071428768336773,0.8895000219345093
8,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13,0.0062500000931322575,0.8851875066757202
9,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12,0.006611111108213663,0.8880555629730225
10,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11,0.0070500001311302185,0.8982499837875366
11,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10,0.00704545434564352,0.8917727470397949
12,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10,0.00774999987334013,0.890541672706604
13,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09,0.008999999612569809,0.9045384526252747
14,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08,0.013392857275903225,0.9047142863273621
15,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07,0.023800000548362732,0.9054666757583618
16,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06,0.0455937497317791,0.9051250219345093
17,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06;0.05,0.08058823645114899,0.9057646989822388
18,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06;0.05;0.04,0.12186110764741898,0.909333348274231
19,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03,0.16249999403953552,0.9084210395812988
20,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02,0.20147499442100525,0.9114500284194946
21,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02;0.01,0.237928569316864,0.9115714430809021
