num_files,eps_values,raw_acc,denoised_acc
1,0.10,0.3774999976158142,0.9190000295639038
2,0.10;0.09,0.4202499985694885,0.9177500009536743
3,0.10;0.09;0.08,0.4661666750907898,0.9208333492279053
4,0.10;0.09;0.08;0.07,0.5148749947547913,0.9206249713897705
5,0.10;0.09;0.08;0.07;0.06,0.5609999895095825,0.926800012588501
6,0.10;0.09;0.08;0.07;0.06;0.05,0.6054166555404663,0.9228333234786987
7,0.10;0.09;0.08;0.07;0.06;0.05;0.04,0.6447142958641052,0.9238571524620056
8,0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03,0.6791250109672546,0.9238125085830688
9,0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02,0.7092777490615845,0.9296666383743286
10,0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02;0.01,0.7350999712944031,0.9246500134468079
