num_files,eps_values,raw_acc,denoised_acc
1,0.06,0.0,0.125
2,0.06;0.05,0.03125,0.25
3,0.06;0.05;0.04,0.0416666679084301,0.25
4,0.06;0.05;0.04;0.03,0.0625,0.3125
5,0.06;0.05;0.04;0.03;0.02,0.11249999701976776,0.32499998807907104
6,0.06;0.05;0.04;0.03;0.02;0.01,0.1666666716337204,0.3854166567325592
7,0.06;0.05;0.04;0.03;0.02;0.01;0.01,0.2232142835855484,0.4375
8,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01,0.265625,0.390625
9,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01,0.2986111044883728,0.4722222089767456
10,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01,0.32499998807907104,0.40625
11,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01,0.34659090638160706,0.5056818127632141
12,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.00,0.3645833432674408,0.3958333432674408
13,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00,0.3798076808452606,0.48557692766189575
14,0.06;0.05;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00,0.3928571343421936,0.4151785671710968
