num_files,eps_values,raw_acc,denoised_acc
1,0.14,0.0,0.1875
2,0.14;0.12,0.0,0.1875
3,0.14;0.12;0.10,0.0,0.1875
4,0.14;0.12;0.10;0.08,0.0,0.21875
5,0.14;0.12;0.10;0.08;0.06,0.012500000186264515,0.1875
6,0.14;0.12;0.10;0.08;0.06;0.04,0.03125,0.25
7,0.14;0.12;0.10;0.08;0.06;0.04;0.02,0.0803571417927742,0.3303571343421936
8,0.14;0.12;0.10;0.08;0.06;0.04;0.02;0.01,0.140625,0.34375
9,0.14;0.12;0.10;0.08;0.06;0.04;0.02;0.01;0.01,0.1875,0.3263888955116272
10,0.14;0.12;0.10;0.08;0.06;0.04;0.02;0.01;0.01;0.01,0.22499999403953552,0.375
11,0.14;0.12;0.10;0.08;0.06;0.04;0.02;0.01;0.01;0.01;0.00,0.2556818127632141,0.3920454680919647
12,0.14;0.12;0.10;0.08;0.06;0.04;0.02;0.01;0.01;0.01;0.00;0.00,0.28125,0.4166666567325592
