Iterations,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
1,0.8625,0.7875,0.6530,1.0270
2,0.8250,0.7875,0.6668,1.0366
3,0.8000,0.7875,0.6826,1.0455
4,0.7500,0.7875,0.7072,1.0579
5,0.7000,0.7625,0.7338,1.0689
6,0.5875,0.7375,0.8180,1.1005
7,0.5375,0.7375,0.8591,1.1162
8,0.5250,0.7375,0.8666,1.1159
9,0.4750,0.7250,0.9134,1.1428
10,0.4375,0.7250,0.9503,1.1653
11,0.3750,0.7250,0.9951,1.1853
12,0.3500,0.7250,1.0187,1.1865
13,0.2875,0.7125,1.0752,1.2201
14,0.2625,0.7125,1.1081,1.2297
15,0.2250,0.7000,1.1367,1.2450
16,0.2250,0.7000,1.1322,1.2431
17,0.2000,0.7000,1.1613,1.2474
18,0.1750,0.7000,1.1829,1.2521
19,0.1500,0.7000,1.1996,1.2572
20,0.1500,0.7000,1.1925,1.2476
21,0.1125,0.6875,1.2365,1.2804
22,0.0875,0.6875,1.2614,1.2832
