Epsilon,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
-0.000,0.8625,0.7625,0.6530,1.1199
0.005,0.8000,0.7000,0.9888,1.3253
0.010,0.6625,0.6125,1.3992,1.5676
0.015,0.5250,0.5750,1.8818,1.8494
0.020,0.4875,0.5125,2.4061,2.1582
0.025,0.3750,0.4750,2.9699,2.4795
0.030,0.2875,0.4125,3.5544,2.8178
0.035,0.2250,0.3500,4.1598,3.1779
0.040,0.1500,0.3000,4.7859,3.5525
0.045,0.1250,0.2125,5.4296,3.9385
0.050,0.0875,0.1625,6.0701,4.3340
0.055,0.0750,0.1500,6.7035,4.7342
0.060,0.0500,0.1375,7.3321,5.1396
0.065,0.0375,0.1250,7.9587,5.5515
0.070,0.0375,0.0875,8.5743,5.9692
0.075,0.0250,0.0750,9.1828,6.3886
0.080,0.0250,0.0750,9.7928,6.8253
0.085,0.0250,0.0625,10.4073,7.2661
0.090,0.0250,0.0375,11.0219,7.7114
0.095,0.0250,0.0375,11.6355,8.1600
0.100,0.0250,0.0125,12.2422,8.6066
