Epsilon,Average L2,Accuracy
0.1,5.423725,0.08933333
0.095,5.1577697,0.088
0.09,4.891185,0.08658333
0.085,4.6238947,0.08558334
0.08,4.3560376,0.0835
0.075,4.0876317,0.08175
0.07,3.8186126,0.08008333
0.065,3.5490098,0.08033333
0.06,3.2788975,0.078833334
0.055,3.0082917,0.07733333
0.05,2.737097,0.0755
0.045,2.4654315,0.075833336
0.04,2.193328,0.072916664
0.035,1.9207737,0.07333333
0.03,1.6477255,0.07716667
0.025,1.3742796,0.08941667
0.02,1.1004449,0.10716667
0.015,0.8261447,0.146
0.01,0.5513741,0.24108334
0.005,0.27607828,0.45825
-0.0,0.0,0.84625
