Index,Original Label,Predicted Label,Conf_0,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5,Conf_6,Conf_7,Conf_8,Conf_9
0,7,7,4.540446e-11,9.916742e-10,7.446197e-08,8.18107e-09,1.5103144e-10,5.356807e-10,1.6658512e-14,0.9999999,6.0517862e-12,5.3909652e-08
1,2,2,8.268767e-12,1.09669436e-07,0.9999999,4.3722284e-08,9.275004e-12,1.0105905e-10,2.3828635e-08,1.9628266e-10,8.008504e-10,4.0478664e-14
2,1,1,2.1420322e-10,0.99998415,7.706553e-07,1.0256111e-06,2.1654723e-06,3.4831496e-07,4.935904e-06,6.4389774e-06,6.1918726e-08,4.316749e-08
3,0,0,0.9999993,1.1069138e-10,4.3576543e-07,3.7717347e-11,1.0287982e-09,9.903244e-09,2.3661084e-07,1.9735038e-08,3.2270517e-08,2.0946384e-08
4,4,4,9.611089e-10,1.7423161e-09,5.155705e-09,7.702833e-11,0.99999833,6.2769305e-09,9.483641e-09,4.0413997e-08,1.6265098e-07,1.5013769e-06
5,1,1,5.2636047e-12,0.99999833,7.7916775e-09,4.1232717e-08,1.7141039e-07,2.5333065e-08,8.414747e-08,1.3976046e-06,7.829696e-09,2.5135249e-08
6,4,4,6.7970657e-10,3.8177898e-08,2.4897893e-09,1.40264715e-08,0.99974614,5.148293e-07,2.9211268e-08,8.810065e-07,0.0002071447,4.532854e-05
7,9,9,7.269799e-08,1.4000475e-06,2.8883815e-07,0.00010176436,0.00053879054,6.468262e-06,9.612681e-07,9.755357e-07,6.6358566e-06,0.9993426
8,5,5,2.8341836e-09,1.8359579e-10,3.7368393e-11,8.443928e-09,5.443156e-07,0.937116,0.06238923,5.488311e-11,0.000365959,0.00012831205
9,9,9,1.0399102e-10,7.024605e-09,1.9547582e-10,1.3718022e-06,2.589554e-05,2.2655932e-07,1.8383324e-11,9.382515e-05,1.0225794e-07,0.9998785
10,0,0,0.99999964,4.569347e-12,1.6292519e-07,4.8030694e-12,1.9301188e-10,3.7144474e-09,1.2522078e-08,2.116707e-09,1.2775297e-07,8.166713e-08
11,6,6,3.5305224e-08,4.44411e-10,1.2276903e-09,2.4542872e-12,1.7695042e-08,1.8031557e-08,1.0,1.2937576e-12,8.524424e-10,7.8829235e-12
