Index,Original Label,Predicted Label,Conf_0,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5,Conf_6,Conf_7,Conf_8,Conf_9
0,8,8,1.9398474e-08,1.3037704e-09,1.1331024e-06,0.0002133265,4.8794092e-08,2.210707e-06,2.7982688e-07,5.2128795e-09,0.9997812,1.7314086e-06
1,4,4,2.6281444e-15,4.044815e-12,2.0596286e-13,9.6141275e-14,1.0,6.6180834e-13,6.9733374e-13,7.11766e-09,3.306063e-09,1.9018405e-08
2,8,8,7.740925e-06,2.9665567e-05,0.00021338197,0.0028587724,0.00016188844,0.0005291655,0.0013031004,9.54199e-06,0.9942281,0.0006586162
3,7,7,1.3704604e-10,1.568198e-07,1.662506e-06,1.1746308e-06,6.06098e-10,4.029231e-09,1.7847242e-12,0.9999968,1.5141834e-10,2.7053684e-07
4,7,7,2.2771122e-08,4.9757578e-08,4.1609374e-07,1.03781666e-07,1.126217e-07,2.0213952e-07,4.5957817e-11,0.99999416,5.962337e-09,4.871683e-06
5,0,0,0.9999021,2.5694202e-09,5.3735956e-05,3.8982176e-10,4.2979727e-06,3.3307646e-09,3.706153e-05,1.422248e-08,1.0894869e-06,1.6713329e-06
6,6,6,5.730641e-07,3.8045037e-08,2.309805e-06,1.0869603e-09,2.6531836e-05,9.759236e-07,0.99992216,1.1607208e-10,4.7295944e-05,1.424521e-09
7,2,2,6.4985625e-12,4.8783845e-06,0.99999356,1.3852242e-06,1.1478617e-11,2.9115885e-10,5.075262e-10,9.332583e-08,5.4908207e-09,2.5409206e-12
8,7,7,4.0548183e-08,0.031069918,0.0007928713,0.056011282,2.2549038e-06,1.1579085e-05,6.9603324e-08,0.91206425,1.9451857e-06,4.5733148e-05
9,4,4,3.0153737e-06,7.626902e-05,1.6565888e-05,2.377466e-05,0.9968658,5.11849e-06,2.0441086e-05,0.00068716466,2.0834848e-05,0.0022810313
10,3,3,9.988086e-09,6.5663844e-05,0.0006000573,0.9993043,3.4653283e-08,2.9435562e-08,8.947709e-10,4.8219313e-06,2.3315859e-05,1.8081518e-06
11,9,9,1.9179447e-09,3.1042495e-09,2.1143922e-09,7.3978917e-06,3.566219e-05,5.2367403e-07,9.649753e-10,2.2884456e-05,2.3068525e-08,0.9999335
12,9,9,1.0338251e-09,4.6177243e-11,4.1053326e-08,1.923321e-07,5.3097583e-06,2.5342155e-08,2.1024743e-11,2.6534086e-05,2.6781048e-08,0.99996793
13,8,8,1.8366876e-11,1.4999715e-13,1.1368749e-10,5.863891e-09,3.5720873e-10,2.5060984e-09,4.8207066e-10,1.240356e-12,1.0,2.94765e-09
14,2,2,2.1465922e-09,7.852763e-05,0.99990535,7.8178855e-06,1.8036445e-09,7.462735e-09,1.16217125e-08,8.235086e-06,4.4766335e-08,2.6394222e-09
15,5,5,2.7940897e-10,1.0305138e-08,4.6080088e-11,6.6152925e-06,1.7069637e-10,0.9999846,7.701876e-07,2.0895268e-09,9.981065e-07,6.9463736e-06
16,9,9,4.5111545e-12,3.228552e-10,8.016335e-12,1.6594163e-07,1.8145251e-06,2.0209372e-08,9.331965e-12,1.271763e-07,1.4172902e-08,0.99999785
17,1,1,6.8332994e-08,0.9989492,8.699368e-06,3.22122e-06,7.433594e-06,0.0001724963,0.0008493132,2.887907e-06,5.165601e-06,1.501522e-06
18,7,7,5.750097e-09,1.4555427e-08,2.3940825e-05,2.1669278e-07,5.3021434e-08,1.22968e-08,2.4841544e-12,0.9999614,6.526361e-09,1.4241275e-05
19,8,8,2.7068467e-10,4.8837956e-12,2.076901e-09,8.584602e-07,1.4721004e-09,3.937511e-08,2.2594712e-08,8.139508e-12,0.9999989,1.2574323e-07
20,0,0,0.99998736,6.00793e-11,6.405566e-07,8.008247e-11,6.5473524e-09,1.2793232e-07,9.454902e-07,3.0745175e-09,1.07699425e-05,1.5935593e-07
21,0,0,0.9999999,7.067388e-13,1.4282974e-08,3.7313054e-13,1.2757571e-11,6.435603e-10,1.3881819e-08,5.3829115e-11,1.02229e-07,5.837885e-10
22,0,0,0.99999726,4.733604e-11,2.2574525e-07,3.0483848e-11,4.0097042e-10,3.0774476e-08,8.490366e-08,1.0200465e-09,2.3899263e-06,1.2469043e-08
23,3,3,7.821301e-14,2.34138e-11,1.2158615e-09,1.0,1.745289e-13,4.261822e-09,1.6576584e-14,3.2020927e-12,2.978155e-09,3.2406298e-08
24,6,6,5.2550264e-12,1.9418915e-14,3.1478932e-13,9.9818154e-17,3.3651196e-10,5.8922246e-12,1.0,2.6979679e-18,1.6222528e-12,6.909855e-16
