latent_dim,mse,accuracy
0,0.061965797,0.09841666370630264
100,0.014292418,0.2241666615009308
200,0.010900524,0.23016667366027832
300,0.008804399,0.24133333563804626
400,0.007778319,0.26100000739097595
500,0.007250631,0.26750001311302185
600,0.0062113707,0.3060833215713501
700,0.005788564,0.31816667318344116
800,0.005435469,0.3485833406448364
900,0.0055040806,0.34058332443237305
1000,0.005083939,0.37308332324028015
1100,0.004770757,0.40183332562446594
1200,0.0046539768,0.40450000762939453
1300,0.0043470412,0.42491665482521057
1400,0.0044551766,0.4347499907016754
1500,0.0042799483,0.4385833442211151
1600,0.004144278,0.45383334159851074
1700,0.003836043,0.4937500059604645
1800,0.0036559328,0.5251666903495789
1900,0.0035263032,0.5476666688919067
2000,0.0034994204,0.5495833158493042
2100,0.0036969061,0.5134166479110718
2200,0.0032415346,0.5728333592414856
2300,0.0033870619,0.5584166646003723
2400,0.0032348372,0.5766666531562805
2500,0.003119584,0.5995000004768372
2600,0.003321128,0.5727499723434448
2700,0.003022005,0.6107500195503235
2800,0.0028797742,0.6227499842643738
2900,0.0029536027,0.6179999709129333
3000,0.0030871576,0.5983333587646484
