latent_dim,mse,accuracy
0,0.06700715,0.10235714167356491
50,0.0053865905,0.9522143006324768
100,0.001992142,0.9760714173316956
150,0.0012300533,0.9783571362495422
200,0.00095464545,0.9795714020729065
250,0.0008109945,0.9792143106460571
300,0.0007213566,0.9789999723434448
350,0.00069704396,0.979285717010498
400,0.0006847932,0.9789285659790039
450,0.0006888124,0.9789999723434448
500,0.00068910624,0.9791428446769714
550,0.000683975,0.9790714383125305
600,0.00066629454,0.979285717010498
650,0.0006494078,0.9786428809165955
700,0.0006616652,0.9792143106460571
750,0.00064791314,0.9794285893440247
